Date,GCell Group,Integrity,K3014:Traffic Volume on TCH(Erl),PS DL Traffic (GB),PS UL Traffic (GB),Call_Setup_Success_Rate_Portal(%),MSC Assignment Attempt Rate(%),DCR_Portal_new(%),SDCCH Drop Rate_Portal(%),Handover Success Rate _Portal_new(%),Incoming_HSR(%),Incoming Inter RAT HO Success Rate,SDCCH Blocking_Portal(%),TCH_congestion_Portal(%),"Interference%_Band(3,4,5)",AM_Location_Update_SR(%),TBF SR(%),Immediate assign success rate(%),VAMOS traffic(Erl),RR307:TCH Availability%,2G Availability(%)
9/13/2023,Bishah,45182Bishah,367.44,2.3808,1.4733,99.7388,94.8587,0.4033,0.2364,99.3541,99.3198,96.337,0,0,1.9019,97.4602,95.4891,97.7656,3.94,99.965,99.9765
9/13/2023,Abu Arish,45182Abu Arish,1059.61,2.52,1.1379,99.5363,94.9874,0.5406,0.3495,98.9694,98.8328,90.9357,0.0071,0,2.0926,95.7719,98.0123,96.367,13.71,99.5728,99.5439
9/13/2023,Muhayel,45182Muhayel,239.5,1.6942,1.9876,99.6547,93.4061,0.4115,0.2661,98.9271,98.953,92.1687,0.035,0,0.2267,99.0365,95.8956,99.0777,0,97.4705,99.8355
9/13/2023,Jizan,45182Jizan,1311.59,3.5601,2.5611,99.6964,96.5675,0.3709,0.2255,98.7361,99.1315,89.7503,0.0044,0,1.4892,98.1261,98.6901,98.2357,8.69,99.4522,99.4683
9/13/2023,Najran,45182Najran,2284.38,7.6992,4.8362,99.5656,96.6054,0.3148,0.345,99.5839,99.592,95.7992,0.2642,0,2.2881,98.0725,98.4136,98.155,21.69,99.7894,99.762
9/13/2023,Sabya,45182Sabya,2253.71,2.5382,1.7096,99.531,94.7809,0.3863,0.3999,99.3288,99.3711,91.8635,0.0647,0,1.1827,97.4972,98.1168,97.8641,209.85,99.4903,99.483
9/13/2023,Southern Region All,45182Southern Region All,60612.45,121.3082,79.7244,99.3685,103.964,0.975,0.4394,95.8502,96.6202,96.3362,0.1045,0.0371,2.8961,98.0642,96.8148,97.7848,1868.77,98.7516,98.7913
9/13/2023,Southern Region,45182Southern Region,36595.92,96.2423,62.1206,99.4187,104.4346,0.6742,0.4486,96.5359,96.7377,95.7369,0.1076,0.0024,3.4266,98.0748,97.3771,97.7694,914.35,99.0838,99.1491
9/13/2023,USF8,45182USF8,23817.31,24.0008,16.6816,99.2148,102.2147,2.0044,0.3774,94.2547,96.3761,97.5689,0.0896,0.1665,0.4525,98.1787,89.8407,98.023,952.67,97.6045,97.5762
9/13/2023,Remote Aseer,45182Remote Aseer,7004.14,23.0291,16.938,98.9952,108.7414,1.1871,0.8185,97.7384,98.9123,96.1078,0.1498,0,3.6234,97.8166,98.1347,97.7427,56.95,98.1825,98.2348
